Engine Capacity,Cylinders,Drive Type,Fuel Tank Capacity,Fuel Economy,Fuel Type,Horsepower,Torque,Transmission,Top Speed,Seating Capacity,Acceleration,Length,Width,Height,Wheelbase,Trunk Capacity,name,price,currency,Country
1.6,4,0,53.0,6.0,0,165,240.0,0,205,5,9.0,4.447,1.841,1.615,2.675,520.0,Peugeot 3008 2021 1.6T Active,108433.0,0,0
2.0,4,1,48.0,7.0,0,148,192.0,0,190,5,8.2,4.275,1.765,1.535,2.57,240.0,Mazda CX 3 2021 2.0L GTX (AWD),94490.0,0,0
1.6,4,0,50.0,6.5,0,130,157.0,0,190,5,12.0,4.35,1.78,1.45,2.7,482.0,Kia Cerato Hatchback 2021 1.6L Base,77424.0,0,0
2.0,4,1,63.0,7.3,0,150,196.0,2,194,5,10.4,4.465,1.8,1.615,2.665,1240.0,Subaru XV 2021 2.0L Standard,96800.0,0,0
2.7,4,2,80.0,11.1,0,164,245.0,1,165,6,11.5,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.7L GLX Double Cab M/T (4x2),108790.0,0,0
2.5,4,0,60.0,6.9,0,205,249.0,0,195,5,8.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L GLE (204 HP),109296.0,0,0
2.5,4,0,60.0,6.9,0,205,249.0,0,195,5,8.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L GLE Touring (204 HP) ,106223.0,0,0
1.5,4,0,45.0,5.8,0,180,220.0,0,210,5,8.4,4.575,1.755,1.435,2.67,478.0,Honda Civic 2021 1.5 RS,118850.0,0,0
3.5,6,1,88.0,13.0,0,189,306.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.5L GLX 5 Door Base,124740.0,0,0
3.5,6,1,88.0,13.0,0,189,306.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.5L GLS 5 Door,133485.0,0,0
2.5,4,0,60.0,6.9,0,205,249.0,0,195,5,8.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L SE (204 HP),112256.0,0,0
1.5,4,0,55.0,8.2,0,148,210.0,0,170,5,12.5,4.335,1.814,1.695,2.56,500.0,Haval H2 2021 1.5T Intelligent ,70999.0,0,0
3.0,6,1,60.0,10.3,0,227,292.0,0,205,7,8.7,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 3.0L GLS (7-Seater) High,110550.0,0,0
3.0,6,1,60.0,10.3,0,227,292.0,0,205,7,8.7,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 3.0L GLS (7-Seater) High,110550.0,0,0
2.7,4,2,80.0,11.1,0,164,245.0,1,165,5,11.5,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.7L GLX 2 Double Cab M/T (4x2),112355.0,0,0
2.5,4,0,50.0,4.5,2,176,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L LE HEV,101441.0,0,0
2.5,4,0,50.0,4.5,2,176,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L GLE HEV,115103.0,0,0
2.5,4,0,50.0,4.5,2,212,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L Lumiere Hybrid (212 HP) ,144817.0,0,0
2.5,4,0,50.0,4.5,2,176,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L GLE Touring HEV ,112028.0,0,0
2.7,4,1,80.0,10.7,0,164,245.0,1,165,6,11.9,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.7L GL 2 Double Cab M/T (4x4),113965.0,0,0
2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SL AWD (7-Seater) W/Safety Shield ,121219.0,0,0
1.5,4,0,61.7,7.0,0,165,250.0,0,220,5,8.3,4.923,1.854,1.47,2.829,453.0,Chevrolet Malibu 2021 1.5L Turbo LS,89100.0,0,0
1.5,4,0,61.7,7.0,0,165,250.0,0,220,5,8.3,4.923,1.854,1.47,2.829,453.0,Chevrolet Malibu 2021 1.5L Turbo LS,89100.0,0,0
1.5,4,0,61.7,7.0,0,165,250.0,0,220,5,8.3,4.923,1.854,1.47,2.829,453.0,Chevrolet Malibu 2021 1.5L Turbo LT,115500.0,0,0
1.5,4,0,61.7,7.0,0,165,250.0,0,220,5,8.3,4.923,1.854,1.47,2.829,453.0,Chevrolet Malibu 2021 1.5L Turbo Premier ,132990.0,0,0
2.7,4,2,80.0,12.0,0,160,245.0,0,180,7,11.8,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 2.7L GX2 (4X2),114989.0,0,0
1.6,4,0,53.0,6.0,0,165,240.0,0,205,5,9.0,4.447,1.841,1.615,2.675,520.0,Peugeot 3008 2021 1.6T Allure,125758.0,0,0
1.5,4,0,56.0,5.4,0,198,260.0,0,195,5,7.5,4.89,1.86,1.45,2.83,473.0,Honda Accord 2021 1.5T LX Sport,126935.0,0,0
2.4,4,0,55.0,9.2,0,172,225.0,0,170,8,11.2,4.83,1.8,1.695,2.9,1087.0,Honda Odyssey J 2021 2.4 EX,121160.0,0,0
1.5,4,0,55.0,8.2,0,148,210.0,0,170,5,12.5,4.335,1.814,1.695,2.56,500.0,Haval H2 2021 1.5T Luxury,63410.0,0,0
1.6,4,0,50.0,6.5,0,130,157.0,0,190,5,12.0,4.35,1.78,1.45,2.7,482.0,Kia Cerato Hatchback 2021 1.6L Top,90734.0,0,0
2.4,4,1,62.0,9.5,0,181,237.0,0,180,5,10.0,4.48,1.85,1.655,2.67,515.0,Hyundai Tucson 2021 2.4L GDI Full Option (AWD),129250.0,0,0
2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Fashionable,75599.0,0,0
2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Intelligent,81349.0,0,0
